CLONENAME	GENEID	NAME	TARGETGENBANK	TARGETSEQID	VECTORNAME	GROWTH	SPECIES	CONTAINERLABEL	S.POSITIONX||S.POSITIONY
HsCD00038418	6788	STK3	NM_006281	5454093	pJP1563	test	Homo sapiens	HsxXG002541	A01
HsCD00038419	203	AK1	NM_000476	4502010	pJP1563	test	Homo sapiens	HsxXG002541	B01
HsCD00038420	1445	CSK	NM_004383	4758077	pJP1563	test	Homo sapiens	HsxXG002541	C01
HsCD00038421	5603	MAPK13	NM_002754	4506084	pJP1563	test	Homo sapiens	HsxXG002541	D01
HsCD00038422	5605	MAP2K2	NM_030662	13489053	pJP1563	test	Homo sapiens	HsxXG002541	E01
HsCD00038423	5606	MAP2K3	NM_002756	4506098	pJP1563	test	Homo sapiens	HsxXG002541	F01
HsCD00038424	8536	CAMK1	NM_003656	4580415	pJP1563	test	Homo sapiens	HsxXG002541	G01
HsCD00038425	4296	MAP3K11	BC011263	15030036	pJP1563	test	Homo sapiens	HsxXG002541	H01
HsCD00038426	5607	MAP2K5	BC008838	14250737	pJP1563	test	Homo sapiens	HsxXG002541	A02
HsCD00039185	1432	MAPK14	BC000092	12652686	pJP1563	test	Homo sapiens	HsxXG002541	B02
HsCD00038427	983	CDC2	BC014563	15778966	pJP1563	test	Homo sapiens	HsxXG002541	C02
HsCD00038428	472	ATM	BC007023	13937840	pJP1563	test	Homo sapiens	HsxXG002541	D02
HsCD00038429	369	ARAF1	BC007514	33873662	pJP1563	test	Homo sapiens	HsxXG002541	E02
HsCD00038430	1111	CHEK1	AF016582	2367668	pJP1563	test	Homo sapiens	HsxXG002541	F02
HsCD00038431	1454	CSNK1E	L37043	852056	pJP1563	test	Homo sapiens	HsxXG002541	G02
HsCD00038432	1956	EGFR	U48722	1628549	pJP1563	test	Homo sapiens	HsxXG002541	H02
HsCD00038433	1020	CDK5	BC005115	13477282	pJP1563	test	Homo sapiens	HsxXG002541	A03
HsCD00038434	6446	SGK	BC001263	12654838	pJP1563	test	Homo sapiens	HsxXG002541	B03
HsCD00038647	5602	MAPK10	NM_002753	4506080	pJP1563	test	Homo sapiens	HsxXG002541	C03
HsCD00038648	5610	PRKR	NM_002759	4506102	pJP1563	test	Homo sapiens	HsxXG002541	D03
HsCD00038435	5170	PDPK1	BC012103	15082378	pJP1563	test	Homo sapiens	HsxXG002541	E03
HsCD00038436	204	AK2	BC009405	14424798	pJP1563	test	Homo sapiens	HsxXG002541	F03
HsCD00038649	5594	MAPK1	BC017832	17389605	pJP1563	test	Homo sapiens	HsxXG002541	G03
HsCD00038437	1956	EGFR	NM_005228	41327737	pJP1563	test	Homo sapiens	HsxXG002541	H03
HsCD00038438	2064	ERBB2	NM_004448	4758297	pJP1563	test	Homo sapiens	HsxXG002541	A04
HsCD00039162	2305	MPP2	NM_005374	18765724	pJP1563	test	Homo sapiens	HsxXG002541	B04
HsCD00038439	127933	UHMK1	NM_144624	21389438	pJP1563	test	Homo sapiens	HsxXG002541	C04
HsCD00038440	8814	CDKL1	NM_004196	37596296	pJP1563	test	Homo sapiens	HsxXG002541	D04
HsCD00038441	23604	DAPK2	NM_014326	14670382	pJP1563	test	Homo sapiens	HsxXG002541	E04
HsCD00038442	65061	ALS2CR7	NM_139158	21040234	pJP1563	test	Homo sapiens	HsxXG002541	F04
HsCD00038443	1119	CHKA	NM_001277	47078275	pJP1563	test	Homo sapiens	HsxXG002541	G04
HsCD00038444	673	BRAF	NM_004333	33188458	pJP1563	test	Homo sapiens	HsxXG002541	H04
HsCD00038445	9113	LATS1	NM_004690	10862687	pJP1563	test	Homo sapiens	HsxXG002541	A05
HsCD00038446	5156	PDGFRA	NM_006206	15451787	pJP1563	test	Homo sapiens	HsxXG002541	B05
HsCD00038447	1956	EGFR	NM_005228	41327737	pJP1563	test	Homo sapiens	HsxXG002541	C05
HsCD00038448	3643	INSR	NM_000208	4557883	pJP1563	test	Homo sapiens	HsxXG002541	D05
HsCD00038449	673	BRAF	NM_004333	33188458	pJP1563	test	Homo sapiens	HsxXG002541	E05
HsCD00038696	26576	STK23	NM_014370	7657628	pJP1563	test	Homo sapiens	HsxXG002541	F05
HsCD00038697	1760	DMPK	NM_004409	47059023	pJP1563	test	Homo sapiens	HsxXG002541	G05
HsCD00038698	5207	PFKFB1	NM_002625	4505744	pJP1563	test	Homo sapiens	HsxXG002541	H05
HsCD00038699	3609	MPP4	NM_033066	14780901	pJP1563	test	Homo sapiens	HsxXG002541	A06
HsCD00038700	57787	MARK4	NM_031417	33636755	pJP1563	test	Homo sapiens	HsxXG002541	B06
HsCD00038701	154043	MAGI1	NM_004742	9257194	pJP1563	test	Homo sapiens	HsxXG002541	C06
HsCD00038702	11040	PIM2	BC018111	17390244	pJP1563	test	Homo sapiens	HsxXG002541	D06
HsCD00038704	55224	ETNK2	BC010082	14603243	pJP1563	test	Homo sapiens	HsxXG002541	E06
HsCD00038705	29941	PKN3	BC062558	38565959	pJP1563	test	Homo sapiens	HsxXG002541	F06
HsCD00039155	55351	STK32B	BC038238	23398527	pJP1563	test	Homo sapiens	HsxXG002541	G06
HsCD00038706	55437	ALS2CR2	BC008302	14249853	pJP1563	test	Homo sapiens	HsxXG002541	H06
HsCD00038707	221264	C6orf199	BC022031	18314440	pJP1563	test	Homo sapiens	HsxXG002541	A07
HsCD00038708	3099	HK2	BC064369	39963173	pJP1563	test	Homo sapiens	HsxXG002541	B07
HsCD00038709	5609	MAP2K7	BC038295	23468314	pJP1563	test	Homo sapiens	HsxXG002541	C07
HsCD00038712	2050	EPHB4	BC052804	31127084	pJP1563	test	Homo sapiens	HsxXG002541	F07
HsCD00038713	8550	MAPKAPK5	BC047284	28704100	pJP1563	test	Homo sapiens	HsxXG002541	G07
HsCD00038714	8899	PRPF4B	BC034969	23271008	pJP1563	test	Homo sapiens	HsxXG002541	H07
HsCD00038715	2931	GSK3A	BC051865	34194605	pJP1563	test	Homo sapiens	HsxXG002541	A08
HsCD00038716	65975	STK33	BC031231	22658391	pJP1563	test	Homo sapiens	HsxXG002541	B08
HsCD00038717	10200	MPP6	BC023638	33879924	pJP1563	test	Homo sapiens	HsxXG002541	C08
HsCD00038718	699	BUB1	BC028201	20381367	pJP1563	test	Homo sapiens	HsxXG002541	D08
HsCD00039156	8444	DYRK3	BC015501	15930120	pJP1563	test	Homo sapiens	HsxXG002541	E08
HsCD00038721	9414	TJP2	BC027592	20379537	pJP1563	test	Homo sapiens	HsxXG002541	F08
HsCD00038722	9060	PAPSS2	BC009894	14602765	pJP1563	test	Homo sapiens	HsxXG002541	G08
HsCD00038723	50488	MINK1	BC034673	21961594	pJP1563	test	Homo sapiens	HsxXG002541	H08
HsCD00038724	6850	SYK	BC002962	12804208	pJP1563	test	Homo sapiens	HsxXG002541	A09
HsCD00039157	56155	TEX14	BC040526	26251780	pJP1563	test	Homo sapiens	HsxXG002541	B09
HsCD00038725	284656	EPHA10	BC067734	45709949	pJP1563	test	Homo sapiens	HsxXG002541	C09
HsCD00038726	92	ACVR2A	BC067418	45708975	pJP1563	test	Homo sapiens	HsxXG002541	D09
HsCD00038727	253430	IPMK	BC065709	41351291	pJP1563	test	Homo sapiens	HsxXG002541	E09
HsCD00038728	5753	PTK6	BC035843	23243301	pJP1563	test	Homo sapiens	HsxXG002541	F09
HsCD00039154	5207	PFKFB1	BC096079	64653395	pJP1563	test	Homo sapiens	HsxXG002541	G09
HsCD00038633	79834	KIAA2002	XM_370878	41204979	pJP1563	test	Homo sapiens	HsxXG002541	H09
HsCD00038636	23683	PRKD3	NM_005813	6563384	pJP1563	test	Homo sapiens	HsxXG002541	A10
HsCD00038637	387851	AK3L2	XM_370688	42660039	pJP1563	test	Homo sapiens	HsxXG002541	B10
HsCD00038640	11011	TLK2	NM_006852	45643116	pJP1563	test	Homo sapiens	HsxXG002541	C10
HsCD00038646	5602	MAPK10	NM_002753	4506080	pJP1563	test	Homo sapiens	HsxXG002541	D10
HsCD00038650	701	BUB1B	BC018739	17511776	pJP1563	test	Homo sapiens	HsxXG002541	E10
HsCD00038651	130399	ACVR1C	XM_065712	20535683	pJP1563	test	Homo sapiens	HsxXG002541	F10
HsCD00038772	8491	MAP4K3	NM_003618	15451901	pJP1563	test	Homo sapiens	HsxXG002541	C11
HsCD00038773	5579	PRKCB1	BC036472	22209071	pJP1563	test	Homo sapiens	HsxXG002541	D11
HsCD00038777	11213	IRAK3	BC057800	34785939	pJP1563	test	Homo sapiens	HsxXG002541	H11
HsCD00039107	55500	ETNK1	BC006111	13543937	pJP1563	test	Homo sapiens	HsxXG002542	A01
HsCD00039206	7867	MAPKAPK3	BC007591	14043205	pJP1563	test	Homo sapiens	HsxXG002542	B01
HsCD00039108	8877	SPHK1	BC008040	14165485	pJP1563	test	Homo sapiens	HsxXG002542	C01
HsCD00039109	1152	CKB	BC019281	17939472	pJP1563	test	Homo sapiens	HsxXG002542	D01
HsCD00039110	4833	NME4	BC004880	13436121	pJP1563	test	Homo sapiens	HsxXG002542	E01
HsCD00038831	8394	PIP5K1A	BC007833	14043746	pJP1563	test	Homo sapiens	HsxXG002542	F01
HsCD00038832	5129	PCTK3	BC011526	15079360	pJP1563	test	Homo sapiens	HsxXG002542	G01
HsCD00038833	112858	C20orf64	BC009727	16307276	pJP1563	test	Homo sapiens	HsxXG002542	H01
HsCD00038834	5261	PHKG2	BC002541	12803434	pJP1563	test	Homo sapiens	HsxXG002542	A02
HsCD00039117	7371	UCK2	BC002906	12804106	pJP1563	test	Homo sapiens	HsxXG002542	B02
HsCD00038835	6790	STK6	BC006423	13623610	pJP1563	test	Homo sapiens	HsxXG002542	C02
HsCD00039147	780	DDR1	BC008716	14250529	pJP1563	test	Homo sapiens	HsxXG002542	E02
HsCD00038837	1158	CKM	BC007462	13938618	pJP1563	test	Homo sapiens	HsxXG002542	F02
HsCD00038838	4145	MATK	BC003109	13111882	pJP1563	test	Homo sapiens	HsxXG002542	G02
HsCD00038839	10295	BCKDK	BC007363	13938443	pJP1563	test	Homo sapiens	HsxXG002542	H02
HsCD00038840	2585	GALK2	BC005141	13477332	pJP1563	test	Homo sapiens	HsxXG002542	A03
