CONTAINERLABEL	POSITION	CLONENAME
test7	A01	HsCD00021850
test7	B01	HsCD00000339
test7	C01	HsCD00001147
test7	D01	HsCD00000146
test7	E01	HsCD00000113
test7	F01	HsCD00021840
test7	G01	HsCD00021841
test7	H01	HsCD00000137
test7	A02	HsCD00001624
test7	B02	HsCD00001634
test7	C02	HsCD00001314
test7	D02	HsCD00001150
test7	E02	HsCD00001167
test7	F02	HsCD00001628
test7	G02	HsCD00001472
test7	H02	HsCD00001459
test7	A03	HsCD00001653
test7	B03	HsCD00001589
test7	C03	HsCD00001605
test7	D03	HsCD00001606
test7	E03	HsCD00001607
test7	F03	HsCD00021828
test7	G03	HsCD00021829
test7	H03	HsCD00002385
test7	A04	HsCD00021830
test7	B04	HsCD00001979
test7	C04	HsCD00002678
test7	D04	HsCD00002048
test7	E04	HsCD00001994
test7	F04	HsCD00002574
test7	G04	HsCD00002660
test7	H04	HsCD00001973
test7	A05	HsCD00002057
test7	B05	HsCD00002478
test7	C05	HsCD00002582
test7	D05	HsCD00002272
test7	E05	HsCD00002129
test7	F05	HsCD00002596
test7	G05	HsCD00002097
test7	H05	HsCD00002505
test7	A06	HsCD00002254
test7	B06	HsCD00021831
test7	C06	HsCD00002740
test7	D06	HsCD00003030
test7	E06	HsCD00021832
test7	F06	HsCD00002965
test7	G06	HsCD00004589
test7	H06	HsCD00003372
test7	A07	HsCD00003795
test7	B07	HsCD00003631
test7	C07	HsCD00003385
test7	D07	HsCD00004005
test7	E07	HsCD00003236
test7	F07	HsCD00003326
test7	G07	HsCD00003955
test7	H07	HsCD00021851
test7	A08	HsCD00003033
test7	B08	HsCD00003202
test7	C08	HsCD00021833
test7	D08	HsCD00001882
test7	E08	HsCD00004004
test7	F08	HsCD00002730
test7	G08	HsCD00002771
test7	H08	HsCD00002926
test7	A09	HsCD00004008
test7	B09	HsCD00001883
test7	C09	HsCD00002925
test7	D09	HsCD00003656
test7	E09	HsCD00003382
test7	F09	HsCD00021834
test7	G09	HsCD00021835
test7	H09	HsCD00003332
test7	A10	HsCD00003142
test7	B10	HsCD00001774
test7	C10	HsCD00003373
test7	D10	HsCD00002782
test7	E10	HsCD00004854
test7	F10	HsCD00001813
test7	G10	HsCD00001787
test7	H10	HsCD00003845
test7	A11	HsCD00003041
test7	B11	HsCD00003706
test7	C11	HsCD00003895
test7	D11	HsCD00004107
test7	E11	HsCD00002844
test7	F11	HsCD00003170
test7	G11	HsCD00003857
test7	H11	HsCD00003146
test7	A12	HsCD00003741
test7	B12	HsCD00003715
test7	C12	HsCD00002823
test7	D12	HsCD00021836
test7	E12	HsCD00004086
test7	F12	HsCD00004128
test7	G12	HsCD00004710
test7	H12	HsCD00003564
test8	A01	HsCD00021850
test8	B01	HsCD00000339
test8	C01	HsCD00001147
test8	D01	HsCD00000146
test8	E01	HsCD00000113
test8	F01	HsCD00021840
test8	G01	HsCD00021841
test8	H01	HsCD00000137
test8	A02	HsCD00001624
test8	B02	HsCD00001634
test8	C02	HsCD00001314
test8	D02	HsCD00001150
test8	E02	HsCD00001167
test8	F02	HsCD00001628
test8	G02	HsCD00001472
test8	H02	HsCD00001459
test8	A03	HsCD00001653
test8	B03	HsCD00001589
test8	C03	HsCD00001605
test8	D03	HsCD00001606
test8	E03	HsCD00001607
test8	F03	HsCD00021828
test8	G03	HsCD00021829
test8	H03	HsCD00002385
test8	A04	HsCD00021830
test8	B04	HsCD00001979
test8	C04	HsCD00002678
test8	D04	HsCD00002048
test8	E04	HsCD00001994
test8	F04	HsCD00002574
test8	G04	HsCD00002660
test8	H04	HsCD00001973
test8	A05	HsCD00002057
test8	B05	HsCD00002478
test8	C05	HsCD00002582
test8	D05	HsCD00002272
test8	E05	HsCD00002129
test8	F05	HsCD00002596
test8	G05	HsCD00002097
test8	H05	HsCD00002505
test8	A06	HsCD00002254
test8	B06	HsCD00021831
test8	C06	HsCD00002740
test8	D06	HsCD00003030
test8	E06	HsCD00021832
test8	F06	HsCD00002965
test8	G06	HsCD00004589
test8	H06	HsCD00003372
test8	A07	HsCD00003795
test8	B07	HsCD00003631
test8	C07	HsCD00003385
test8	D07	HsCD00004005
test8	E07	HsCD00003236
test8	F07	HsCD00003326
test8	G07	HsCD00003955
test8	H07	HsCD00021851
test8	A08	HsCD00003033
test8	B08	HsCD00003202
test8	C08	HsCD00021833
test8	D08	HsCD00001882
test8	E08	HsCD00004004
test8	F08	HsCD00002730
test8	G08	HsCD00002771
test8	H08	HsCD00002926
test8	A09	HsCD00004008
test8	B09	HsCD00001883
test8	C09	HsCD00002925
test8	D09	HsCD00003656
test8	E09	HsCD00003382
test8	F09	HsCD00021834
test8	G09	HsCD00021835
test8	H09	HsCD00003332
test8	A10	HsCD00003142
test8	B10	HsCD00001774
test8	C10	HsCD00003373
test8	D10	HsCD00002782
test8	E10	HsCD00004854
test8	F10	HsCD00001813
test8	G10	HsCD00001787
test8	H10	HsCD00003845
test8	A11	HsCD00003041
test8	B11	HsCD00003706
test8	C11	HsCD00003895
test8	D11	HsCD00004107
test8	E11	HsCD00002844
test8	F11	HsCD00003170
test8	G11	HsCD00003857
test8	H11	HsCD00003146
test8	A12	HsCD00003741
test8	B12	HsCD00003715
test8	C12	HsCD00002823
test8	D12	HsCD00021836
test8	E12	HsCD00004086
test8	F12	HsCD00004128
test8	G12	HsCD00004710
test8	H12	HsCD00003564
